m_number,no_of_grounds,description,colour_code,1,2,3,layer1_colour,layer1_composition,layer2_colour,layer2_composition,layer3_colour,layer3_composition,toplayer_colour,reliability,sample,microscopy,elem_analysis,sample_location,sample_name_1,sample_link_1,sample_name_2,sample_link_2,researchers,source,dttg_new_research,notes
M062,2,"1. Reddish-orange layer
2. Cool light brown layer",O-LBr,,,,O,"Red ochre, red lead, quartz",LBr,"Lead white, bone black, yellow earth, chalk",,,LBr,1,,,,National Gallery London,"ISA, ISB, ISD",,,,Marika Spring,"National Gallery, London science department documentation",,"Info based on Marika's summary for ARCHLAB visit. Ground also in CHARISMA article by Ashok Roy 

Also from National Gallery documentation, done by Joyce Plesters

SEM-EDX done by Marika Spring"
M063,1,"""Red ground layer""",R,,,,R,,,,,,R,3,,,,,,,,,,Email correspondence with researcher,,Classified as grey since it's unclear what they could mean by bluish; treatment in 2007 - coat of arms was overpainted as it is believed to be of the 1800s; Pendant of M068 (Mh459)
M064,1,1. Light bluish ground,G,,,,G,"Lead white, chalk, a little red lead",,,,,G,2,,,,,,,,,Karin Groen and Ella Hendriks,"Groen, Karin, and Ella Hendriks. “Frans Hals: A Technical Examination.” In Frans Hals, 109–27. Munich: Prestel-Verlag, 1989.",,"In the lower right of the composition, Irene's gown was painted using the fugitive pigment smalt; the blue of the smalt has degraded and taken on a typically uneven, blanched appearance. The underlying reddish ground has been exposed over time through numerous abrasions in the paint layer in this area. There are pentimenti throughout the composition, most visible in the figure of Saint Sebastian (along his left leg, in the folds of his garment, along his waist and chin, etc.) and in the hands of the two women."
M065,1,"""Reddish ground""",R,,,,R,,,,,,R,4,,,,,,,,,,AMAM website,,Reddish ochreous layer followed by a warm tone of grey
M066,2,"1. Reddish layer
2. Warm grey layer",R-G,,,,R,,G,,,,G,3,,,,,,,,,,Sozzani & Parreira 'Examination and Treatment Report' available at Centraal Museum. Published in Roy essay note 19 p. 94,,Drawings and descriptions of layers from VADB but no images of the cross sections
M067,2,"1. Orange-brown layer with some red and black particles
2. Grey layer with some brown, black, and (lead) white particles",R-G,,,,DO,,G,,,,G,2,,,,,A287/1-3,https://rkd.nl/explore/technical/5005857,,,"JRJ van Asperen de Boer, E.A.M. Schorer, Moorea Hall-Aquitania",Centraal Museum documentation,,Treatment in 2007 - coat of arms was overpainted as it is believed to be of the 1800s; Pendant of M064 (Mh460)
M068,1,"1. Grey ground, incomplete sample",G,,,,G,,,,,,G,3,,,,,,,,,Karin Groen and Ella Hendriks,"Groen, Karin, and Ella Hendriks. “Frans Hals: A Technical Examination.” In Frans Hals, 109–27. Munich: Prestel-Verlag, 1989.",,
M069,1,1. Light pinkish ochreous,LP,,,,LP,"Lead white, very little red ochre, very little fine black (little red lead?)",,,,,LP,2,,,,,,,,,Karin Groen and Ella Hendriks,"Groen, Karin, and Ella Hendriks. “Frans Hals: A Technical Examination.” In Frans Hals, 109–27. Munich: Prestel-Verlag, 1989.",,"Ground typical of Ter Brugghen's work around this period, ground not visible in final appearance. 

Info probably from just looking at the surface of the painting"
M070,2,"1. Red ground layer
2. Second beige preparatory layer",LR-LBr,,,,LR,"Red earth with aluminosilicates and some quartz (Si only in some
particles), red lead visible as more orange-red particles and associated lead soap formation",LBr,"Lead white, some relatively large inclusions of calcium carbonate (only Ca detected), some bone black (Ca, P detected), a little yellow earth",,,LBr,3,,,,,,,,,Marika Spring,"National Gallery, London science department documentation",,"Hendrick Terbrugghen, The Denial of Saint Peter (1626/1629): Red ground / dark grey imprimatura over red ground that appears to be continuous throughout the painting.    "
M071,2,"1. Red ground
2. Dark grey layer",R-DG,,,,R,,DG,,,,DG,3,,,,,,,,,Kim Muir,Email correspondence with researcher,,
M072,3,"1. Reddish-brown layer
2. Red layer
3. Pale brown layer",R-R-LBr,,,,R,"Reddish-brown layer with translucent, white, black, and red particles",R,Red layer with brown and red particles,LBr,"White and brown layer with white particles, and small particles of red and brown",LBr,2,,,,,,,,,"Marco Cardinali, M. Beatrice De Ruggieri",Emmebi/Max-Planck Hertziana database,,
M073,1,1. Light greyish brown ground,LBr,,,,LBr,"Lead white, a little red ochre",,,,,LBr,2,,,,,,,,,Karin Groen and Ella Hendriks,"Groen, Karin, and Ella Hendriks. “Frans Hals: A Technical Examination.” In Frans Hals, 109–27. Munich: Prestel-Verlag, 1989.",,
M074,1,1. Yellowish ground,LBr,,,,LBr,"Lead white, a little red ochre, umber, black",,,,,LBr,2,,,,,,,,,Karin Groen and Ella Hendriks,"Groen, Karin, and Ella Hendriks. “Frans Hals: A Technical Examination.” In Frans Hals, 109–27. Munich: Prestel-Verlag, 1989.",,
M075,2,"1. Cold pink ground, in two layers wet-in-wet
2. Second layer more pink (?)",P-P,,,,P,"Lead white, umber, a little fine black",P,"Lead white, umber, a little red ochre, very little organic red, black",,,P,2,,,,,,,,,Karin Groen and Ella Hendriks,"Groen, Karin, and Ella Hendriks. “Frans Hals: A Technical Examination.” In Frans Hals, 109–27. Munich: Prestel-Verlag, 1989.",,
M076,1,1. Pinkish ground applied in two layers,P,,,,P,"Lead white, a little chalk, a little umber, a dark red pigment, and very little black",,,,,P,1,,,,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M077,1,"1. Whitish ground applied in 2 layers, the bottom one more greyish",LG,,,,LG,"Lead white, very little red ochre, very little fine black",,,,,LG,1,,,,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,"Sample I5 shows the layer structure the best. Looks very similar to previous Ter Brugghen paintings, especially the ground which appears to also contain red lead. 

From Christopher Brown's internal notes: ""The double ground present in [STB4 CS] I also apparent here and comprises a lower orange-red layer followed by a mixed brown (containing fine brown and buff particles, 'glassy' large translucent brown flakes, yellow pigment, black, and white.) "
M078,2,"1. Orange-red layer
2. Mixed medium brown containing yellow particles",LR-LBr,,,,LR,Red ochre,LBr,"Lead white, yellow ochre, black pigment",,,LBr,1,,,,,,,,,,"National Gallery, London science department documentation",,"""das gemälde in zwei schichten grundiert wurde: eine untere, aus warmtonigen gelben und roten erdpigmenten mis weis bestehende lage wurde im anschluss mit einer etwas kuhleren grauen schicht uberzogen."""
M079,2,"1. Warm-toned reddish layer (orange)
2. Cool grey layer",O-G,,,,O,"Red, brown and yellow earth pigments, white/translucent particles",G,"Translucent, yellow, orange, and brown particles",,,G,1,,,,,,,,,"Marco Cardinali, M. Beatrice De Ruggieri","Prohaska, Wolfgang. Caravaggio Und Der Internationale Caravaggismus. Sammlungkataloge Des Kunsthistorischen Museums 6. Vienna: Kunsthistorisches Museum, 2010.",,"Emmebi/Max-Planck Hertziana database: they have XRAY, IRR, Map of incisions, UV, one cross-section (no SEM-EDS), and XRF analysis"
M080,2,"1. Dark brown layer containing particles of red and black and possibly glass
2. Light brown layer containing similar pigments in different proportions",DBr-LBr,,,,DBr,"Ochre, lead white, red ochre, charcoal black",LBr,"Lead white, brown earth",,,LBr,1,,,,Hamilton Kerr Institute,689_1-19,,,,Karin Groen,Hamilton Kerr technical report,,Hamilton Kerr technical report 1981
M081,1,1. White ground (toned),LBr,,,,LBr,"Lead white, a little umber (?)",,,,,LBr,2,,,,,,,,,Karin Groen and Ella Hendriks,"Groen, Karin, and Ella Hendriks. “Frans Hals: A Technical Examination.” In Frans Hals, 109–27. Munich: Prestel-Verlag, 1989.",,XRF by Arie Pappot indicates that the ground contains Iron and Calcium
M082,1,"""The colour of the ground, visible in the background, is red""",R,,,,R,,,,,,R,4,,,,,,,,,,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,XRF by Arie Pappot indicates that the ground contains Iron and Calcium
M083,1,"""The colour of the ground, visible in the background, is red""",R,,,,R,,,,,,R,4,,,,,,,,,,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,Translated from Polish
M084,3,"1. Brownish-orange
2. Yellow-orange
3. Grey",DO-O-G,,,,DO,"Red and yellow ocher,
quartz, small amounts of lead white and chalk",O,"Yellow ochre, calcium carbonate, ceruse",G,"Lead white, calcium carbonate, yellow ochre, bone black",G,1,,,,,,,,,Mateusz Jasinski,Email correspondence with researcher,,
M085,1,"1. Whitish, two layers?",LBr,,,,LBr,"Lead white, very little fine brown ochre or umber",,,,,LBr,1,,,,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,"Many cross-sections taken, unclear which layers are ground layers and what is distinct or not. Need more time with this, and ideally to look at the cross sections. Unclear about third orange layer, which only appears in some samples. Sample 5 from the background doesn't have it. "
M086,2,"1. Cream-coloured layer with white particles
2. Yellowish layer with red and white particles",LY-LBr,,,,LY,"Calcium, aluminum, sodium, lead, silicon",LBr,"Lead. calcium, sodium, aluminum, silicon, lead, iron",,,LY,1,,,,"RKD, JRJ van Asperen de Boer archive",A284,,,,"JRJ van Asperen de Boer, Moorea Hall-Aquitania",Centraal Museum documentation,,Discusses lead soaps
M087,2,"1. Orange-red layer
2. Light brown grey layer",LR-LBr,,,,LR,"Red ochre, chalk, little lead white",LBr,"Brown ochre, charcoal black, lead white, chalk",,,LBr,1,,,,,,,,,,"Castro, Silvia, Anna Bonewitz, Ursula Baumer, Patrick Dietemann, Heike Stege, Irene Fiedler, Cornelia Tilenschi, and Jörg Klaas. “Examinations of Two 17th Century Dutch Paintings with Respect to Colour Alteration and the Greyish Appearance of the Paint Layers.” Zeitschrift Für Kunsttechnologie Und Konservierung 23 (2009): 177–95.

Sent by Gero Seelig, see especially p. 8 Table 1 for SEM-EDX of ground, and p. 14 for images of cross-sections",,
M088,2,"1. Chalk/glue ground
2. Pinkish, medium rich imprimatura that has soaked up to 16 um into the ground",LY-P,,,,LY,Calcium carbonate (chalk),P,"Lead white, very little orange ochre",,,P,1,,,,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M089,2,"1. Chalk/glue ground
2. Lead white imprimatura (toned)",LY-LBr,,,,LY,Calcium carbonate (chalk),LBr,"Lead white, chalk, ochre, umber, very little fine black",,,W,1,,,,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M090,2,"1. Chalk/glue ground
2. Lead white imprimatura (toned)",LY-LBr,,,,LY,Calcium carbonate (chalk),LBr,"Lead white, chalk, ochre, umber, very little fine black",,,W,1,,,,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",Yes,SEM-EDX performed by Moorea Hall-Aquitania. JEOL. 
M091,2,"1. Red ground
2. Light brown layer",R-LBr,,,,R,"Red iron oxide, brown iron oxide, aluminosilicates and lead white",LBr,"Lead white, umber, carbon black, brown iron oxide, aluminosilicates ",,,LBr,1,,,,Need to re-photograph samples,,,,,"Arie Wallert, Moorea Hall-Aquitania",Rijksmuseum Paint Sample Database,,
M092,1,"""Beige ground layer""",LBr,,,,LBr,,,,,,LBr,4,,,,,,,,,L. Sozzani,"Bikker, Jonathan, Yvette Bruijnen, and Gerdien Wuestman, eds. Dutch Paintings of the Seventeenth Century in the Rijksmuseum, Amsterdam: Volume 1 - Artists Born between 1570 and 1600. Amsterdam: Rijksmuseum; Nieuw Amsterdam, 2007.",,
M093,1,"1. Pinkish ground applied in two layers, the second darker",P,,,,P,"Lead white, umber",,,,,P,1,,,,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M094,2,"1. Yellowish ground
2. Grey ground",Y-G,,,,Y,"Lead white, chalk (?), yellow ochre, a little dine black and red/brown earth pigments",G,"Lead white, little fine red, brown earth, fine black",,,G,1,,,,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M095,1,1. Yellowish ground,LBr,,,,LBr,"Lead white, little umber",,,,,LBr,2,,,,,,,,,Karin Groen and Ella Hendriks,"Groen, Karin, and Ella Hendriks. “Frans Hals: A Technical Examination.” In Frans Hals, 109–27. Munich: Prestel-Verlag, 1989.",,
M096,1,1. Whitish (22-165 um thick at edge),LBr,,,,LBr,"Lead white, little brown ochre",,,,,LBr,1,,,,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M097,1,1. Light pinkish ground,LP,,,,LP,"Lead white, umber",,,,,LP,2,,,,,,,,,Karin Groen and Ella Hendriks,"Groen, Karin, and Ella Hendriks. “Frans Hals: A Technical Examination.” In Frans Hals, 109–27. Munich: Prestel-Verlag, 1989.",,
M098,1,1. Whitish (30 um thick),LBr,,,,LBr,"Lead white, little brown ochre or umber",,,,,LBr,1,,,,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,
M099,1,"1. Pink-ochre, looks grey-brown under microscope. Applied in two layers",P,,,,P,"Lead white, umber, very little red ochre, very fine charcoal black",,,,,P,2,,,,,,,,,Karin Groen and Ella Hendriks,"Groen, Karin, and Ella Hendriks. “Frans Hals: A Technical Examination.” In Frans Hals, 109–27. Munich: Prestel-Verlag, 1989.",,
M100,2,"1. Light pinkish brown ground
2. Applied in 3 layers, but the 3rd is the only different one",P-P,,,,P,"Lead white, umber",P,"Lead white, umber, a little red ochre",,,P,2,,,,,,,,,Karin Groen and Ella Hendriks,"Groen, Karin, and Ella Hendriks. “Frans Hals: A Technical Examination.” In Frans Hals, 109–27. Munich: Prestel-Verlag, 1989.",,
M101,1,"1. ""Light ground""",LBr,,,,LBr,"Lead white, little umber",,,,,LBr,2,,,,,,,,,Karin Groen and Ella Hendriks,"Groen, Karin, and Ella Hendriks. “Frans Hals: A Technical Examination.” In Frans Hals, 109–27. Munich: Prestel-Verlag, 1989.",,Single or double?
M102,2,"1. Light pinkish ground applied in two wet-in-wet layers
2. Second layer with different pigments",P-P,,,,P,"Chalk, lead white, little umber, very little fine black",P,"Lead white, chalk, little fine umber, manganese black, yellow ochre, very little organic/inorganic red",,,P,1,,,,Frans Hals Museum,,,,,Ella Hendriks,"Hendriks, Ella. “Haarlem Studio Practice.” In Painting in Haarlem 1500-1850: The Collection of the Frans Hals Museum, 65–96. Ghent: Ludion, 2006.",,Single or double?
